id,source,date,title,FINAL,url
14,Tribun News,2026-09-05,"Dukung Pendidikan Inklusif, Anggota Komisi IV DPR Rajiv Salurkan Bantuan untuk Siswa di Lembang",0,https://www.tribunnews.com/nasional/7827522/dukung-pendidikan-inklusif-anggota-komisi-iv-dpr-rajiv-salurkan-bantuan-untuk-siswa-di-lembang
15,Tribun News,2026-09-05,"Perguruan Tinggi Dorong Pemberdayaan Desa, Soroti Pendidikan Islami dan Penguatan UMKM",0,https://www.tribunnews.com/nasional/7827462/perguruan-tinggi-dorong-pemberdayaan-desa-soroti-pendidikan-islami-dan-penguatan-umkm
16,Tribun News,2026-08-05,Intip Peluang Studi hingga Beasiswa Kuliah di Inggris hingga Irlandia di Pameran Pendidikan,0,https://www.tribunnews.com/pendidikan/7827184/intip-peluang-studi-hingga-beasiswa-kuliah-di-inggris-hingga-irlandia-di-pameran-pendidikan
17,Tribun News,2026-08-05,Buku Anyar KMB: Masalah & Solusi Lembaga Pendidikan Kita,0,https://www.tribunnews.com/tribunners/7826964/buku-anyar-kmb-masalah-solusi-lembaga-pendidikan-kita
18,Tribun News,2026-07-05,"Kemendikdasmen: 9,4 Juta Siswa Bakal Ikut SPMB 2026, Ditargetkan Semua Dapat Sekolah",0,https://www.tribunnews.com/nasional/7826616/kemendikdasmen-94-juta-siswa-bakal-ikut-spmb-2026-ditargetkan-semua-dapat-sekolah
19,Tribun News,2026-07-05,"Hadapi Krisis Global, Perubahan Institusi Pendidikan Buka Akses Masyarakat Menengah ke Bawah",0,https://www.tribunnews.com/nasional/7826589/hadapi-krisis-global-perubahan-institusi-pendidikan-buka-akses-masyarakat-menengah-ke-bawah
20,Tribun News,2026-06-05,"Sudirman Said: Kampus Harus Jadi Jantung Perubahan-Laboratorium Solusi, Bukan Sekadar Menara Gading",0,https://www.tribunnews.com/pendidikan/7825938/sudirman-said-kampus-harus-jadi-jantung-perubahan-laboratorium-solusi-bukan-sekadar-menara-gading
21,Tribun News,2026-06-05,GenAI di Perguruan Tinggi: Mahasiswa Butuh Regulasi Diri,0,https://www.tribunnews.com/tribunners/7825909/genai-di-perguruan-tinggi-mahasiswa-butuh-regulasi-diri
22,Tribun News,2026-05-05,Pendidikan Adaptif dan Kebutuhan Industri,0,https://www.tribunnews.com/tribunners/7825737/pendidikan-adaptif-dan-kebutuhan-industri
23,Tribun News,2026-04-05,"Perkembangan Teknologi, Tantangan dan Peluang Guru sebagai Kreator Konten Edukatif",0,https://www.tribunnews.com/pendidikan/7825244/perkembangan-teknologi-tantangan-dan-peluang-guru-sebagai-kreator-konten-edukatif
24,Tribun News,2026-04-05,"Pendidikan Nasional 2026, PKP Dorong Pembentukan Manusia Berkarakter dan Berdaya Saing Global",0,https://www.tribunnews.com/nasional/7825176/pendidikan-nasional-2026-pkp-dorong-pembentukan-manusia-berkarakter-dan-berdaya-saing-global
25,Tribun News,2026-03-05,FSGI Sebut Akses Pendidikan Berkualitas Belum Sepenuhnya Dinikmati Semua Anak Bangsa,0,https://www.tribunnews.com/pendidikan/7824531/fsgi-sebut-akses-pendidikan-berkualitas-belum-sepenuhnya-dinikmati-semua-anak-bangsa
26,Tribun News,2026-02-05,Presiden Prabowo Diminta Fokus Tingkatkan Mutu Pendidikan di Daerah,0,https://www.tribunnews.com/nasional/7824363/presiden-prabowo-diminta-fokus-tingkatkan-mutu-pendidikan-di-daerah
27,Tribun News,2026-02-05,Mengenal 3 Semboyan Ki Hajar Dewantara yang Menjadi Dasar Pendidikan Nasional dan Artinya,0,https://www.tribunnews.com/nasional/7824357/mengenal-3-semboyan-ki-hajar-dewantara-yang-menjadi-dasar-pendidikan-nasional-dan-artinya
28,Tribun News,2026-01-05,"Perluas Akses Pendidikan, Kemendikdasmen Terapkan PJJ Jenjang SMA di 34 Provinsi",0,https://www.tribunnews.com/pendidikan/7824159/perluas-akses-pendidikan-kemendikdasmen-terapkan-pjj-jenjang-sma-di-34-provinsi
29,Tribun News,2026-04-29,"Kemendikti Wacanakan Tutup Prodi Tak Relevan, Kampus Dorong Kolaborasi Pendidikan dan Industri",0,https://www.tribunnews.com/nasional/7823221/kemendikti-wacanakan-tutup-prodi-tak-relevan-kampus-dorong-kolaborasi-pendidikan-dan-industri
30,Tribun News,2026-04-29,Prabowo Investasi Besar-besaran di Bidang Pendidikan demi Masa Depan Bangsa: Sekolah Sangat Penting,0,https://www.tribunnews.com/nasional/7822950/prabowo-investasi-besar-besaran-di-bidang-pendidikan-demi-masa-depan-bangsa-sekolah-sangat-penting
31,Tribun News,2026-04-28,Sidang MK: Program Makan Bergizi Gratis Dinilai Sah dan Dukung Pendidikan Nasional,0,https://www.tribunnews.com/nasional/7822730/sidang-mk-program-makan-bergizi-gratis-dinilai-sah-dan-dukung-pendidikan-nasional
32,Tribun News,2026-04-28,"Dapat Dukungan Mendiktisaintek, 176 Ribu Mahasiswa Ikuti Program Penggerak Perubahan",0,https://www.tribunnews.com/bisnis/7822589/dapat-dukungan-mendiktisaintek-176-ribu-mahasiswa-ikuti-program-penggerak-perubahan
33,Tribun News,2026-04-25,Mewujudkan Pendidikan Bermutu untuk Semua,0,https://www.tribunnews.com/pendidikan-go/7821424/mewujudkan-pendidikan-bermutu-untuk-semua
34,Tribun News,2026-04-23,"Jawaban Modul 6.15 Beda Is Not Bad - Bagian 5, Pelatihan Kurikulum Berbasis Cinta, PINTAR Kemenag",1,https://www.tribunnews.com/pendidikan/7820696/jawaban-modul-615-beda-is-not-bad-bagian-5-pelatihan-kurikulum-berbasis-cinta-pintar-kemenag
35,Tribun News,2026-04-23,"Gubernur Lemhannas Ace Hasan Tiba di Gedung KPK, Antar Peserta Pendidikan Antikorupsi",0,https://www.tribunnews.com/nasional/7820376/gubernur-lemhannas-ace-hasan-tiba-di-gedung-kpk-antar-peserta-pendidikan-antikorupsi
36,Tribun News,2026-04-23,"Universitas Tarakanita Gelar Wisuda 2026, Cetak Lulusan Berintegritas dan Berdampak",0,https://www.tribunnews.com/adv/7820374/universitas-tarakanita-gelar-wisuda-2026-cetak-lulusan-berintegritas-dan-berdampak
37,Tribun News,2026-04-22,"Sinergi Dua ""Arsitek"" Pendidikan untuk Masa Depan NU dan Indonesia",0,https://www.tribunnews.com/tribunners/7819986/sinergi-dua-arsitek-pendidikan-untuk-masa-depan-nu-dan-indonesia
38,Tribun News,2026-04-21,Gibran Kagetkan Siswa di Yahukimo: Belajar Pakai Smartboard dan Makan Bergizi Gratis,0,https://www.tribunnews.com/regional/7819716/gibran-kagetkan-siswa-di-yahukimo-belajar-pakai-smartboard-dan-makan-bergizi-gratis
39,Tribun News,2026-04-20,Kunci Jawaban IPS Kelas 9 Halaman 194 Kurikulum Merdeka: Soal Esai,0,https://www.tribunnews.com/pendidikan/7818935/kunci-jawaban-ips-kelas-9-halaman-194-kurikulum-merdeka-soal-esai
40,Tribun News,2026-04-17,Praktisi Pendidikan Sebut Program MBG Harusnya Direncanakan Matang Sejak Awal,0,https://www.tribunnews.com/nasional/7818199/praktisi-pendidikan-sebut-program-mbg-harusnya-direncanakan-matang-sejak-awal
41,Tribun News,2026-04-16,"Maxim Gelar “Science Quiz” di Balikpapan, 78 Siswa Adu Kemampuan Akademik",0,https://www.tribunnews.com/pendidikan/7817728/maxim-gelar-science-quiz-di-balikpapan-78-siswa-adu-kemampuan-akademik
42,Tribun News,2026-04-16,"50 Soal PAS Matematika Kelas 2 Semester 2 Kurikulum Merdeka Lengkap dengan Kunci Jawaban ASAT, PAT",0,https://www.tribunnews.com/pendidikan/7817444/50-soal-pas-matematika-kelas-2-semester-2-kurikulum-merdeka-lengkap-dengan-kunci-jawaban-asat-pat
43,Tribun News,2026-04-14,"50 Soal Ujian Sekolah Sosiologi Kelas 12 2026 dan Kunci Jawaban ASAJ, US",0,https://www.tribunnews.com/pendidikan/7816379/50-soal-ujian-sekolah-sosiologi-kelas-12-2026-dan-kunci-jawaban-asaj-us
44,Tribun News,2026-04-13,Pablo Benua Sebut Penguatan Pendidikan Hukum Dinilai Penting untuk Tingkatkan Kualitas SDM,0,https://www.tribunnews.com/pendidikan/7816170/pablo-benua-sebut-penguatan-pendidikan-hukum-dinilai-penting-untuk-tingkatkan-kualitas-sdm
45,Tribun News,2026-04-13,Dari Kenakalan Jadi Harapan: Sekolah Rakyat Bantu Julio Menata Masa Depan,0,https://www.tribunnews.com/nasional/7815867/dari-kenakalan-jadi-harapan-sekolah-rakyat-bantu-julio-menata-masa-depan
46,Tribun News,2026-11-04,Ibas Tekankan Pendidikan Fondasi Pembentukan Generasi Berkarakter di Tengah Tantangan Global,0,https://www.tribunnews.com/nasional/7815542/ibas-tekankan-pendidikan-fondasi-pembentukan-generasi-berkarakter-di-tengah-tantangan-global
47,Tribun News,2026-11-04,"Rusak Berat Akibat Banjir Bandang, Renovasi Sekolah MIN 4 Aceh Tamiang Ditargetkan Rampung 3 Bulan",0,https://www.tribunnews.com/regional/7815360/rusak-berat-akibat-banjir-bandang-renovasi-sekolah-min-4-aceh-tamiang-ditargetkan-rampung-3-bulan
48,Tribun News,2026-09-04,"Krisis Resiliensi Generasi Ancam Masa Depan Bangsa, Saatnya Pendidikan Berbenah",0,https://www.tribunnews.com/pendidikan/7814308/krisis-resiliensi-generasi-ancam-masa-depan-bangsa-saatnya-pendidikan-berbenah
49,Tribun News,2026-08-04,Mengapa Kelulusan pada SNBP 2026 di Pilihan Kedua Jauh Lebih Rendah?,1,https://www.tribunnews.com/pendidikan-go/7814105/mengapa-kelulusan-pada-snbp-2026-di-pilihan-kedua-jauh-lebih-rendah
50,Tribun News,2026-07-04,Pelaksanaan TKA 2026 Diharapkan Tingkatkan Mutu Evaluasi Pendidikan Nasional,0,https://www.tribunnews.com/pendidikan/7813632/pelaksanaan-tka-2026-diharapkan-tingkatkan-mutu-evaluasi-pendidikan-nasional
51,Tribun News,2026-07-04,"Mengenal Jalur College, Akses Transfer ke Universitas Top Amerika",0,https://www.tribunnews.com/pendidikan/7813570/mengenal-jalur-college-akses-transfer-ke-universitas-top-amerika
52,Tribun News,2026-04-04,"Ini Data Daya Tampung, Jumlah Pendaftar, hingga Jurusan Terfavorit pada SNBP 2026",0,https://www.tribunnews.com/pendidikan-go/7812425/ini-data-daya-tampung-jumlah-pendaftar-hingga-jurusan-terfavorit-pada-snbp-2026
53,Tribun News,2026-03-04,"Tak Hanya Akademik, Pengalaman Siswa dan Orangtua Tentukan Loyalitas pada Lembaga Pendidikan",0,https://www.tribunnews.com/pendidikan/7812247/tak-hanya-akademik-pengalaman-siswa-dan-orangtua-tentukan-loyalitas-pada-lembaga-pendidikan
54,Tribun News,2026-02-04,"Profil Adang Daradjatun, Eks Wakapolri yang Kritik Bintara Polri Sekolah 5 Bulan Hanya Bisa Baris",0,https://www.tribunnews.com/nasional/7811813/profil-adang-daradjatun-eks-wakapolri-yang-kritik-bintara-polri-sekolah-5-bulan-hanya-bisa-baris
55,Tribun News,2026-02-04,"Polri Ungkap Kasus Pelanggaran Peserta Didik 2025: Perilaku Menyimpang, Joki Ujian hingga Narkoba",0,https://www.tribunnews.com/nasional/7811510/polri-ungkap-kasus-pelanggaran-peserta-didik-2025-perilaku-menyimpang-joki-ujian-hingga-narkoba
56,Tribun News,2026-02-04,Membedah Perbedaan Jurusan Sastra dan Pendidikan Bahasa: Mana yang Lebih Sesuai untuk Kamu?,1,https://www.tribunnews.com/pendidikan-go/7811491/membedah-perbedaan-jurusan-sastra-dan-pendidikan-bahasa-mana-yang-lebih-sesuai-untuk-kamu
57,Tribun News,2026-01-04,"HUT ke-47 UBL, Yayasan Pendidikan Budi Luhur Cakti Dorong Nilai Kebudiluhuran Mendunia",0,https://www.tribunnews.com/nasional/7811328/hut-ke-47-ubl-yayasan-pendidikan-budi-luhur-cakti-dorong-nilai-kebudiluhuran-mendunia
58,Tribun News,2026-03-30,Prospek Kerja Lulusan Pendidikan Biologi: Peluang Karier Luas dari Guru hingga Edukator Lingkungan,0,https://www.tribunnews.com/pendidikan/7810286/prospek-kerja-lulusan-pendidikan-biologi-peluang-karier-luas-dari-guru-hingga-edukator-lingkungan
59,Tribun News,2026-03-27,Anggota Komisi X DPR Ingatkan Efisiensi Anggaran Tak Boleh Korbankan Pendidikan,0,https://www.tribunnews.com/nasional/7809191/anggota-komisi-x-dpr-ingatkan-efisiensi-anggaran-tak-boleh-korbankan-pendidikan
60,Tribun News,2026-03-25,"Opsi Pembelajaran Daring Bergulir, Legislator NasDem Soroti Kesiapan SDM dan Infrastruktur",0,https://www.tribunnews.com/nasional/7808505/opsi-pembelajaran-daring-bergulir-legislator-nasdem-soroti-kesiapan-sdm-dan-infrastruktur
61,Tribun News,2026-03-25,"Komisi X DPR: Kebijakan PJJ Harus Dikaji, Jangan Korbankan Kualitas Pembelajaran",0,https://www.tribunnews.com/nasional/7808482/komisi-x-dpr-kebijakan-pjj-harus-dikaji-jangan-korbankan-kualitas-pembelajaran
62,Tribun News,2026-03-24,Kunci Jawaban Akhlak Tasawuf Kelas 12 Halaman 85 Kurikulum Merdeka Bab 5: Ayo Berlatih,1,https://www.tribunnews.com/pendidikan/7808275/kunci-jawaban-akhlak-tasawuf-kelas-12-halaman-85-kurikulum-merdeka-bab-5-ayo-berlatih
63,Tribun News,2026-03-22,"Pendaftaran Beasiswa S2-S3 Unhan Dibuka Mulai 1 April 2026, Cek Daftar Prodi dan Syaratnya",1,https://www.tribunnews.com/pendidikan/7807868/pendaftaran-beasiswa-s2-s3-unhan-dibuka-mulai-1-april-2026-cek-daftar-prodi-dan-syaratnya
64,Tribun News,2026-03-19,Transformasi Tata Kelola: Catatan Kunjungan Studi Banding Yayasan Joseph Esa Ene,0,https://www.tribunnews.com/tribunners/7806764/transformasi-tata-kelola-catatan-kunjungan-studi-banding-yayasan-joseph-esa-ene
65,Tribun News,2026-03-16,Lebih dari 32 Ribu Anak Indonesia Terima Bantuan Ramadan untuk Pendidikan dan Kebutuhan Dasar,0,https://www.tribunnews.com/pendidikan/7805344/lebih-dari-32-ribu-anak-indonesia-terima-bantuan-ramadan-untuk-pendidikan-dan-kebutuhan-dasar
66,Tribun News,2026-03-15,Handi Irawan: Pendidikan Indonesia Harus Mampu Merespons Disrupsi Teknologi Kecerdasan Buatan,0,https://www.tribunnews.com/nasional/7804988/handi-irawan-pendidikan-indonesia-harus-mampu-merespons-disrupsi-teknologi-kecerdasan-buatan
67,Tribun News,2026-03-13,Cendekiawan NU Sebut Sistem Pendidikan LDII Dilakukan Secara Masif: Dari Sabang ke Merauke,0,https://www.tribunnews.com/nasional/7804073/cendekiawan-nu-sebut-sistem-pendidikan-ldii-dilakukan-secara-masif-dari-sabang-ke-merauke
68,Tribun News,2026-11-03,"LPDP Buka Beasiswa Akselerasi Universitas Unggulan 2026, Ada Pilihan Harvard-Stanford University",0,https://www.tribunnews.com/pendidikan/7802818/lpdp-buka-beasiswa-akselerasi-universitas-unggulan-2026-ada-pilihan-harvard-stanford-university
69,Tribun News,2026-09-03,Ketangguhan Para PMI Perempuan Bangkit Lewat Pendidikan Berkelanjutan,0,https://www.tribunnews.com/nasional/7801824/ketangguhan-para-pmi-perempuan-bangkit-lewat-pendidikan-berkelanjutan
70,Tribun News,2026-08-03,"Bangun Karakter Generasi Muda, Wilmar Sosialisasikan Program Anti-Bullying kepada Siswa",0,https://www.tribunnews.com/pendidikan/7801448/bangun-karakter-generasi-muda-wilmar-sosialisasikan-program-anti-bullying-kepada-siswa
71,Tribun News,2026-05-03,"Dedikasikan Ilmu ke Generasi Muda, Praktisi Ini Tempuh S3 di Universitas Ciputra",0,https://www.tribunnews.com/adv/7800066/dedikasikan-ilmu-ke-generasi-muda-praktisi-ini-tempuh-s3-di-universitas-ciputra
72,Tribun News,2026-04-03,"Kesehatan dan Pendidikan Warga Meningkat, Walikota Tangsel Masih Hadapi Persoalan Lingkungan",0,https://www.tribunnews.com/metropolitan/7799906/kesehatan-dan-pendidikan-warga-meningkat-walikota-tangsel-masih-hadapi-persoalan-lingkungan
73,Tribun News,2026-02-03,"Kanibalisme Pendidikan, Mengerdilkan Otak demi MBG",1,https://www.tribunnews.com/tribunners/7798517/kanibalisme-pendidikan-mengerdilkan-otak-demi-mbg
74,Tribun News,2026-02-28,"Kunci Jawaban Bahasa Inggris Kelas 8 Halaman 277-278 Kurikulum Merdeka, Section 4: Worksheet 5.16",1,https://www.tribunnews.com/pendidikan/7797876/kunci-jawaban-bahasa-inggris-kelas-8-halaman-277-278-kurikulum-merdeka-section-4-worksheet-516
75,Tribun News,2026-02-28,Dari Kursi Menteri ke Ruang Kelas: Mentan Amran Bantu Mahasiswi Yatim Piatu di Unhas,0,https://www.tribunnews.com/kilas-kementerian/7797751/dari-kursi-menteri-ke-ruang-kelas-mentan-amran-bantu-mahasiswi-yatim-piatu-di-unhas
76,Tribun News,2026-02-26,"Polemik Dana Pendidikan dan MBG, Misbakhun: Tidak Tepat Dipertentangkan",0,https://www.tribunnews.com/nasional/7797047/polemik-dana-pendidikan-dan-mbg-misbakhun-tidak-tepat-dipertentangkan
77,Tribun News,2026-02-26,Anggaran Pendidikan untuk MBG: Rp233 T Sah Secara Hukum demi Perkuat Kualitas Pendidikan,0,https://www.tribunnews.com/tribunners/7796694/anggaran-pendidikan-untuk-mbg-rp233-t-sah-secara-hukum-demi-perkuat-kualitas-pendidikan
78,Tribun News,2026-02-26,"Kasus Dwi Sasetyaningtyas, Wamen Stella Christie: Gagalnya Pendidikan Moral sejak Dini",1,https://www.tribunnews.com/nasional/7796654/kasus-dwi-sasetyaningtyas-wamen-stella-christie-gagalnya-pendidikan-moral-sejak-dini
79,Tribun News,2026-02-26,"Kritik Mekanisme, Stella Christie Harap Beasiswa LPDP Tak Diberikan ke Orang Mampu",0,https://www.tribunnews.com/nasional/7796648/kritik-mekanisme-stella-christie-harap-beasiswa-lpdp-tak-diberikan-ke-orang-mampu
80,Tribun News,2026-02-22,"Kunjungan Rutin ke Sekolah Rakyat, Orang Tua: Banyak Perubahan Signifikan pada Anak",0,https://www.tribunnews.com/kilas-kementerian/7794804/kunjungan-rutin-ke-sekolah-rakyat-orang-tua-banyak-perubahan-signifikan-pada-anak
81,Tribun News,2026-02-20,Komisi X DPR Minta Pemerintah Tanggung Biaya Kuliah Mahasiswa Terdampak Bencana Sumatra,0,https://www.tribunnews.com/regional/7793978/komisi-x-dpr-minta-pemerintah-tanggung-biaya-kuliah-mahasiswa-terdampak-bencana-sumatra
82,Tribun News,2026-02-19,"Menteri Pendidikan Timor Leste Teken MoU Bersama Unigoro, Bupati Bojonegoro: Kami Bangga!",0,https://www.tribunnews.com/adv/7793507/menteri-pendidikan-timor-leste-teken-mou-bersama-unigoro-bupati-bojonegoro-kami-bangga
83,Tribun News,2026-02-17,Dari Padang ke Kampus Global: Jalan Salma Putri Menjadi Generasi Neuroscience,0,https://www.tribunnews.com/nasional/7792577/dari-padang-ke-kampus-global-jalan-salma-putri-menjadi-generasi-neuroscience
84,Tribun News,2026-02-17,Rocky Gerung dan Hasto Wardoyo Soroti Tantangan Pendidikan Indonesia ke Depan,0,https://www.tribunnews.com/nasional/7792320/rocky-gerung-dan-hasto-wardoyo-soroti-tantangan-pendidikan-indonesia-ke-depan
85,Tribun News,2026-02-15,"Satu Tahun Pemerintahan, Gubernur NTT Fokus Pendidikan Kesehatan",0,https://www.tribunnews.com/regional/7791608/satu-tahun-pemerintahan-gubernur-ntt-fokus-pendidikan-kesehatan
86,Tribun News,2026-11-02,Perkuat Link and Match Industri Lewat Asesmen Keterampilan di Level Pendidikan Vokasi,0,https://www.tribunnews.com/bisnis/7789884/perkuat-link-and-match-industri-lewat-asesmen-keterampilan-di-level-pendidikan-vokasi
87,Tribun News,2026-11-02,"Lomba Debat Indonesia 2026 Tingkat SMA, Cek Syarat dan Jadwal LDI",0,https://www.tribunnews.com/pendidikan/7789824/lomba-debat-indonesia-2026-tingkat-sma-cek-syarat-dan-jadwal-ldi
88,Tribun News,2026-09-02,"Pantun Angka di Podium, Abdul Mu’ti Tekankan Literasi Dasar di Konsolnas Pendidikan",0,https://www.tribunnews.com/nasional/7788957/pantun-angka-di-podium-abdul-muti-tekankan-literasi-dasar-di-konsolnas-pendidikan
89,Tribun News,2026-07-02,"Seskab Letkol Teddy Jalani Sesko TNI AD, Proses Pendidikan Dilakukan 2 Metode",0,https://www.tribunnews.com/nasional/7788099/seskab-letkol-teddy-jalani-sesko-tni-ad-proses-pendidikan-dilakukan-2-metode
90,Tribun News,2026-06-02,"Tragedi Siswa SD di Ngada NTT, Potret Kegagalan Negara dalam Memberikan Pendidikan Manusiawi",1,https://www.tribunnews.com/tribunners/7787618/tragedi-siswa-sd-di-ngada-ntt-potret-kegagalan-negara-dalam-memberikan-pendidikan-manusiawi
91,Tribun News,2026-05-02,"Polisi Ungkap Pemicu Siswa SD di NTT Akhiri Hidup, Ada Banyak Faktor, Termasuk Masalah Alat Tulis",0,https://www.tribunnews.com/regional/7787401/polisi-ungkap-pemicu-siswa-sd-di-ntt-akhiri-hidup-ada-banyak-faktor-termasuk-masalah-alat-tulis
92,Tribun News,2026-05-02,"Anggaran Pendidikan Dipakai untuk MBG, Guru Honorer Ajukan Gugatan ke MK",0,https://www.tribunnews.com/nasional/7787302/anggaran-pendidikan-dipakai-untuk-mbg-guru-honorer-ajukan-gugatan-ke-mk
93,Tribun News,2026-05-02,"Kisah Khoirul Anam, Satpam Bank Bergelar S2 Pecahkan Rekor MURI: Tidur Dikorbankan",0,https://www.tribunnews.com/nasional/7787253/kisah-khoirul-anam-satpam-bank-bergelar-s2-pecahkan-rekor-muri-tidur-dikorbankan
94,Tribun News,2026-04-02,Benyamin Davnie: Pendidikan Jadi Penggerak Utama Pembangunan Daerah,0,https://www.tribunnews.com/metropolitan/7786937/benyamin-davnie-pendidikan-jadi-penggerak-utama-pembangunan-daerah
95,Tribun News,2026-04-02,Tragedi Bocah SD di Ngada NTT: Cermin Kebijakan Pendidikan Belum Berpihak pada Kelompok Rentan,0,https://www.tribunnews.com/regional/7786687/tragedi-bocah-sd-di-ngada-ntt-cermin-kebijakan-pendidikan-belum-berpihak-pada-kelompok-rentan
96,Tribun News,2026-04-02,"Siswa SD Akhiri Hidup Karena Tak Mampu Beli Alat Tulis, Hetifah: Menyayat Hati, Tak Bisa Diterima",0,https://www.tribunnews.com/nasional/7786565/siswa-sd-akhiri-hidup-karena-tak-mampu-beli-alat-tulis-hetifah-menyayat-hati-tak-bisa-diterima
97,Tribun News,2026-03-02,"Tragedi Anak SD di NTT Meninggal Dunia Usai Buku Tak Terbeli, Potret Buram Pendidikan",1,https://www.tribunnews.com/nasional/7786344/tragedi-anak-sd-di-ntt-meninggal-dunia-usai-buku-tak-terbeli-potret-buram-pendidikan
98,Tribun News,2026-03-02,"Rapat dengan Mendiktisaintek, Politikus NasDem Tekankan Pemerataan Pendidikan di Daerah",0,https://www.tribunnews.com/regional/7786319/rapat-dengan-mendiktisaintek-politikus-nasdem-tekankan-pemerataan-pendidikan-di-daerah
99,Tribun News,2026-03-02,Pendidikan Vokasi Pertanian Jadi Strategi Pemerintah Perkuat Regenerasi Petani Nasional,0,https://www.tribunnews.com/nasional/7786150/pendidikan-vokasi-pertanian-jadi-strategi-pemerintah-perkuat-regenerasi-petani-nasional
100,Tribun News,2026-02-02,"Kemendikdasmen-LPDP Siapkan 6.000 Beasiswa Talenta Indonesia, Pesertanya Bisa Kuliah di Luar Negeri",0,https://www.tribunnews.com/nasional/7785734/kemendikdasmen-lpdp-siapkan-6000-beasiswa-talenta-indonesia-pesertanya-bisa-kuliah-di-luar-negeri
101,Tribun News,2026-01-28,"Pendidikan Tak Hanya di Ruang Kelas, Misi Mendekatkan Pemuda dengan Pusat Diplomasi Dunia",0,https://www.tribunnews.com/nasional/7784115/pendidikan-tak-hanya-di-ruang-kelas-misi-mendekatkan-pemuda-dengan-pusat-diplomasi-dunia
102,Tribun News,2026-01-27,"Prabowo Kembali Kumpulkan Menteri di Hambalang, Bahas Kerja Sama Pendidikan Indonesia–Inggris",0,https://www.tribunnews.com/nasional/7783684/prabowo-kembali-kumpulkan-menteri-di-hambalang-bahas-kerja-sama-pendidikan-indonesiainggris
103,Tribun News,2026-01-27,"Yayasan Toyota dan Astra Bedah Buku 50 Tahun Pengabdian, Soroti Pentingnya Pendidikan Karakter",0,https://www.tribunnews.com/bisnis/7783668/yayasan-toyota-dan-astra-bedah-buku-50-tahun-pengabdian-soroti-pentingnya-pendidikan-karakter
